benefit_id,employee_id,benefit_type,amount
1,101,Health Insurance,500.00
2,102,Retirement Plan,600.00
3,103,Vacation Allowance,700.00
4,104,Dental Coverage,550.00
5,105,Education Assistance,450.00
6,106,Health Insurance,580.00
7,107,Retirement Plan,650.00
8,108,Vacation Allowance,750.00
9,109,Dental Coverage,600.00
10,110,Education Assistance,680.00
11,111,Health Insurance,550.00
12,112,Retirement Plan,580.00
13,113,Vacation Allowance,650.00
14,114,Dental Coverage,700.00
15,115,Education Assistance,600.00
16,116,Health Insurance,450.00
17,117,Retirement Plan,500.00
18,118,Vacation Allowance,550.00
19,119,Dental Coverage,580.00
20,120,Education Assistance,750.00
21,121,Health Insurance,650.00
22,122,Retirement Plan,700.00
23,123,Vacation Allowance,750.00
24,124,Dental Coverage,600.00
25,125,Education Assistance,680.00
26,126,Health Insurance,550.00
27,127,Retirement Plan,580.00
28,128,Vacation Allowance,650.00
29,129,Dental Coverage,700.00
30,130,Education Assistance,750.00
31,131,Health Insurance,650.00
32,132,Retirement Plan,700.00
33,133,Vacation Allowance,750.00
34,134,Dental Coverage,600.00
35,135,Education Assistance,680.00
36,136,Health Insurance,550.00
37,137,Retirement Plan,580.00
38,138,Vacation Allowance,650.00
39,139,Dental Coverage,700.00
40,140,Education Assistance,750.00
41,141,Health Insurance,650.00
42,142,Retirement Plan,700.00
43,143,Vacation Allowance,750.00
44,144,Dental Coverage,600.00
45,145,Education Assistance,680.00
46,146,Health Insurance,550.00
47,147,Retirement Plan,580.00
48,148,Vacation Allowance,650.00
49,149,Dental Coverage,700.00
50,150,Education Assistance,750.00
51,151,Health Insurance,650.00
52,152,Retirement Plan,700.00
53,153,Vacation Allowance,750.00
54,154,Dental Coverage,600.00
55,155,Education Assistance,680.00
56,156,Health Insurance,550.00
57,157,Retirement Plan,580.00
58,158,Vacation Allowance,650.00
59,159,Dental Coverage,700.00
60,160,Education Assistance,750.00
61,161,Health Insurance,650.00
62,162,Retirement Plan,700.00
63,163,Vacation Allowance,750.00
64,164,Dental Coverage,600.00
65,165,Education Assistance,680.00
66,166,Health Insurance,550.00
67,167,Retirement Plan,580.00
68,168,Vacation Allowance,650.00
69,169,Dental Coverage,700.00
70,170,Education Assistance,750.00
71,171,Health Insurance,650.00
72,172,Retirement Plan,700.00
73,173,Vacation Allowance,750.00
74,174,Dental Coverage,600.00
75,175,Education Assistance,680.00
76,176,Health Insurance,550.00
77,177,Retirement Plan,580.00
78,178,Vacation Allowance,650.00
79,179,Dental Coverage,700.00
80,180,Education Assistance,750.00
81,181,Health Insurance,650.00
82,182,Retirement Plan,700.00
83,183,Vacation Allowance,750.00
84,184,Dental Coverage,600.00
85,185,Education Assistance,680.00
86,186,Health Insurance,550.00
87,187,Retirement Plan,580.00
88,188,Vacation Allowance,650.00
89,189,Dental Coverage,700.00
90,190,Education Assistance,750.00
91,191,Health Insurance,650.00
92,192,Retirement Plan,700.00
93,193,Vacation Allowance,750.00
94,194,Dental Coverage,600.00
95,195,Education Assistance,680.00
96,196,Health Insurance,550.00
97,197,Retirement Plan,580.00
98,198,Vacation Allowance,650.00
99,199,Dental Coverage,700.00
100,200,Education Assistance,750.00
